Title, Author
Ocean Indyjski 1942 (miękka), Michał A. Piegzik
Mój mały świat Na Księżyc (twarda), PRACA ZBIOROWA
100 pierwszych słów Wieś (twarda), PRACA ZBIOROWA
Egzystencja, metafizyka i kultura w pisarstwie Kazimierza Świegockiego (miękka), Robert Mielhorski, Dorota Utracka
Mój mały świat W mieście (twarda), PRACA ZBIOROWA
Technika opatrywania i unieruchamiania urazów u małych zwierząt (miękka), PRACA ZBIOROWA
Nazistowskie bestie. Kaci z SS (miękka), Jesus Hernandez
Zarządzanie rozwojem współczesnych miast (twarda), Justyna Danielewicz, Dorota Sikora-Fernandez
Gringo wśród dzikich plemion (pocket), Wojciech Cejrowski
Odwet (twarda), Vincent V. Severski
O nie, Dudusiu! (twarda), Chris Haughton
Płonąca namiętność (miękka), K. Bromberg
Zanim umarłam (miękka), S.K. Tremayne
Rodzic najlepszy pod słońcem (miękka), Edyta Zając
Ryszard Czajkowski Podróżnik od zawsze (miękka), Dagmara Bożek-Andryszczak
Symmachia cesarstwa rzymskiego z Bogiem chrześcijan (IV-VI wiek) (miękka), Sławomir Bralewski
Ochrona danych osobowych (miękka), Jacek Gołaczyński, Kinga Flaga-Gieruszyńska
Romans po brytyjsku (miękka), Vi Keeland, Penelope Ward
HR na zakręcie (miękka), Beata Jamka
Integralność prawa administracyjnego (twarda), Jan Aleksander Zimmermann
Great (twarda), Tina Oziewicz
Niewyjaśnione tajemnice II wojny światowej / Ściśle tajne w II wojnie światowej (pakiet), William Breuer
Aktualna problematyka ustrojowa samorządu terytorialnego w świetle orzecznictwa sądowego (miękka), Tomasz Brzezicki, Jacek Wantoch-Rekowski
Równowaga praw i obowiązków implikacją zasady dobra wspólnego (miękka), Piotr Zamelski
Oblicza Niepodległej (miękka), PRACA ZBIOROWA
Diabelskie nasienie (miękka), Edward Lee
Wyrywacz rogów (miękka), Edward Lee
Bądź piękna jak Kleopatra (miękka), Sandra Czeszejko-Sochacka
Gabinety i ogrody (miękka), Aleksandra Jakóbczyk-Gola
Iran śladami polskich uchodźców (twarda), Radosław Fiedler
Zimna fala (miękka), Jarosław Klonowski
Piłsudski (nie)znany. Historia i popkultura (miękka), PRACA ZBIOROWA
